DWR_Site,EMP_Site,Lat,Lon,RepCont,Collection_Date,Collection_Month,Collection_ID,Survey_Year,field.PST,field.Water.temp,field.DO.mgL,field.DO.perc,field.Secchi,field.SC.uScm,field.Salinity,field.NTU,field.pH,field.Chla,field.Fluor,bryte.NH4.mgL,bryte.NO3.mgL,bryte.Chloride.mgL,bryte.Calcium.mgL,bryte.DOC.mgL,bryte.TOC.mgL,bryte.DON.mgL,bryte.total.kjeldahl.n.mgL,bryte.SRP.mgL,bryte.TP.mgL,bryte.SiO2.mgL,bryte.VSS.mgL,bryte.TDS.mgL,bryte.TSS.mgL,bryte.amb.Chla.ugL,bryte.amb.Pheo.ugL,bryte.towNet.Chla.ave.ugL,bryte.towNet.Chla.corrected,bryte.towNet.Pheo.uncorrected,bryte.towNet.Pheo.corrected,dwr.MIC_totbvL,ucd.qpcr.total.MIC,ucd.qpcr.toxin.MIC,ucd.qpcr.DOLICO,ucd.qpcr.APHA,ucd.qpcr.total.CYA,ucd.ppia.MC.total.ugL,ucd.elisa.STX.dissolved.ugL,ucd.elisa.ANA-a.dissolved.ugL
SJ,,38.0347,-121.4834,0,2015-09-28,9,4,2015,1252,22.94,7.23,84.2,,625,0.29,1.4,7.64,3.7,,0.02,0.33,116.1,,3.3,3.7,0.35,,0.1,0.13,12.1,1,346,4,3.96,1,1660.74,0.539800732,54.25,,2.63E+08,19015,1398,9,17694,440120,0,0,0
VC,,37.872,-121.5277,0,2015-09-28,9,4,2015,1243,23.33,7.58,88.9,,609,0.28,3.3,7.54,3.4,,0.01,0.08,117,,3.4,3.5,0.25,,0.07,0.1,10.04,1,336,5,5.74,1.31,1495.2,0.530067646,81.49,,3.31E+08,14134,982,9,12424,400212,0,0,0
AT,D12,38.0232,-121.8071,0,2015-10-14,10,5,2015,815,20.64,7.98,91,,8023,4.43,50.7,7.41,2.3,,0.03,0.23,2302,,2,2.1,0.2,,0.07,0.15,13.143,4,4476,30,1.76,1.27,265.93,0.081214561,57.03,,1.46E+08,272,94,9,1729,97680,0,0,0
ATrep,D12,38.0232,-121.8071,1,2015-10-14,10,5,2015,,,,,,,,,,,,0.04,0.43,2334,,1.9,2.1,0.25,,0.1,0.16,13.448,4,4480,31,1.61,1.47,207.19,0.07343083,40.26,,,254,0,9,336,125868,0,0,0
BI,,38.1159,-121.6845,0,2015-10-14,10,5,2015,825,20.9,8.34,93.8,,2259,1.14,11.2,7.59,1.3,,0.05,0.43,665.3,,2.7,2.1,0.17,,0.09,0.13,15.638,2,1276,11,2.57,0.66,395.69,0.110797517,24.23,,1.32E+08,798,21,9,4169,68155,0,0,0
CV,D4,38.0602,-121.824,0,2015-10-14,10,5,2015,902,20.51,8.34,94.9,,9538,5.34,76,7,1.9,,0.04,0.44,2749.06,,2,2,0.26,,0.11,0.14,13.115,2,5484,15,1.23,0.75,110.43,0.036635028,20.62,,5.32E+07,855,5,9,165,109521,0,0,0
FieldCont,,,,1,,10,5,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,0,9,6,0,0,0,0
FT,D19,38.0468,-121.6192,0,2015-10-14,10,5,2015,1308,21.51,8.2,93.2,,1108,0.53,6.9,7.82,1,,0.02,0.25,268.5,,2.3,2.4,0.23,,0.08,0.12,14.275,1,626,8,4.49,0.76,1082.95,0.629458592,4.81,,3.89E+08,4310,475,9,4205,77859,0.294569312,0,0
JP,,38.0517,-121.6953,0,2015-10-14,10,5,2015,900,21.12,8.22,93.1,,2233,1.12,10.9,7.72,1.9,,0.03,0.37,596,,2.1,2.2,0.19,,0.09,0.12,14.135,2,1274,15,3.34,1.24,905.13,0.430970954,14.04,,2.71E+08,2858,1983,9,5513,69324,0,0,0
MI,,37.9952,-121.5222,0,2015-10-14,10,5,2015,1331,21.81,8.33,95,,56.7,0.02,0.2,7.18,3.4,,0.01,0.23,110,,3,3.1,0.23,,0.08,0.11,12.273,0,315,3,4.02,0.66,591.14,0.222526419,9.93,,3.43E+07,12958,596,9,4895,460260,0.258517261,0,0
OR,D28A,37.9706,-121.5725,0,2015-10-14,10,5,2015,1130,22.12,7.47,85.8,,722,0.33,2.4,7.68,2.3,,0.01,0.12,154.4,,2.9,3,0.2,,0.08,0.11,10.792,1,407,6,3.57,1.03,624.35,0.39205273,38.47,,1.65E+08,3732,369,9,5002,125318,0.294009939,0,0
RR,P8,37.9633,-121.3663,0,2015-10-14,10,5,2015,1206,23.14,7.87,91.8,,916,0.43,1.2,7.62,4.1,,0.05,1.75,154.55,,4,4.1,0.39,,0.39,0.5,16.175,1,505,5,5.07,0.87,138.41,0.051623978,38.39,,8.18E+07,274,0,9,7,339499,0,0,0
SJ,,38.0347,-121.4834,0,2015-10-14,10,5,2015,1253,22.31,8.05,92.4,,597,0.27,0.7,7.25,3.7,,0.01,0.31,113,,3.2,3.3,0.34,,0.09,0.14,10.956,0,329,3,4.6,0.91,1215.6,0.953802401,217.78,,1.06E+09,3337,0,9,2010,206260,0,0,0
VC,,37.872,-121.5277,0,2015-10-14,10,5,2015,1210,22.32,7.8,90.5,,631,0.29,1.3,7.58,3.2,,0.01,0.12,125,,3.4,3.4,0.29,,0.07,0.1,10.229,0,349,2,4.05,0.93,1091.5,0.276483252,4.11,,7.26E+08,4260,18,9,2673,303469,0.265839546,0,0
AT,D12,38.0232,-121.8071,0,2015-10-27,10,6,2015,840,19.5,8.28,91.5,,5828,3.14,,7.35,2.2,,0.04,0.47,1717.05,,1.9,2.1,0.18,,0.1,0.11,12.477,3,3336,17,1.4,0.9,313.35,0.108972173,20.98,,1.51E+08,3112,0,9,3296,100212,0.268941315,0,0
ATrep,D12,38.0232,-121.8071,1,2015-10-27,10,6,2015,,,,,,,,,,,,0.03,0.45,1514.5,,1.8,2,0.2,,0.1,0.12,12.534,3,3230,18,1.63,0.96,666,0.142039831,48.25,,,247,0,8,1494,69300,0.321722734,0,0
BI,,38.1159,-121.6845,0,2015-10-27,10,6,2015,849,19.79,8.25,90.8,,1676,0.82,9.3,7.5,1.1,,0.04,0.42,431.5,,2.1,2.1,0.13,,0.09,0.11,14.271,2,924,12,2.23,0.98,611.16,0.244133183,14,,3.96E+08,1926,0,9,4634,36847,0.308807081,0,0
CV,D4,38.0602,-121.824,0,2015-10-27,10,6,2015,940,19.27,8.5,93.8,,6782,3.69,,7.42,2.3,,0.05,0.5,1940,,1.8,1.8,0.21,,0.1,0.11,12.923,3,3784,17,1.36,0.66,169.71,0.036658519,14.8,,4.85E+07,62,0,9,156,43561,0.32182451,0,0
FieldCont,,,,1,,10,6,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,0,8,6,0,0,0,0
FT,D19,38.0468,-121.6192,0,2015-10-27,10,6,2015,1333,19.86,8.28,91.1,,1122,0.54,10.6,7.68,1.7,,0.05,0.4,273,,2.2,2.7,0.16,,0.08,0.11,13.652,3,621,17,3.05,1.21,589.11,0.49070854,29.16,,6.29E+08,2299,0,9,7289,110144,0.292891253,0,0
JP,,38.0517,-121.6953,0,2015-10-27,10,6,2015,920,19.73,8.32,91.5,,1682,0.83,9.1,7.57,1.6,,0.04,0.43,431.5,,2.1,2.1,0.18,,0.09,0.1,14.233,2,936,12,2.24,0.99,418.02,0.357210211,15.29,,5.59E+08,680,0,9,4393,73270,0,0,0
MI,,37.9952,-121.5222,0,2015-10-27,10,6,2015,1400,20.08,7.73,85,,609,0.28,1.4,7.69,3.4,,0.02,0.28,122,,2.9,2.9,0.22,,0.08,0.1,11.717,0,342,2,3.42,0.69,848.21,0.193910218,2.53,,9.32E+07,5903,30,8,4955,131515,0,0,0
OR,D28A,37.9706,-121.5725,0,2015-10-27,10,6,2015,1200,19.97,7.43,81.9,,798,0.37,2.3,7.46,2.4,,0.03,0.14,175.4,,3.1,3.2,0.18,,0.07,0.1,10.365,1,441,4,2.4,0.86,297.76,0.244754979,11.22,,3.01E+08,3249,0,8,1970,74527,0.258212176,0,0
RR,P8,37.9633,-121.3663,0,2015-10-27,10,6,2015,1238,20.85,7.22,80.9,,776,0.36,1.9,7.32,3.4,,0.07,1.56,124,,3.9,3.5,0.36,,0.38,0.38,16.18,1,423,3,3.59,1.05,59.59,0.022033738,15.54,,9.93E+07,23,0,9,6,325106,0,0,0
SJ,,38.0347,-121.4834,0,2015-10-27,10,6,2015,1322,20.14,7.49,82.5,,568,0.26,2,7.73,3.2,,0.03,0.44,106.45,,3,3.2,0.23,,0.11,0.12,10.988,0,315,2,2.9,1.15,1253.83,0.310909931,54.47,,2.02E+08,3411,0,9,2379,98741,0,0,0
VC,,37.872,-121.5277,0,2015-10-27,10,6,2015,1241,20,7.97,87.8,,669,0.31,1.7,7.55,3.6,,0.01,0.17,135,,3.6,3.7,0.33,,0.07,0.1,10.081,1,371,3,3.88,1.14,326.27,0.162816839,11.87,,2.61E+08,15382,0,9,16770,220282,0.313230967,0,0
AT,D12,38.0232,-121.8071,0,2015-11-17,11,7,2015,825,13.5,9.28,90.6,,5589,3,13,7.73,4,,0.07,0.5,1590,,3.2,2.4,0.23,,0.08,0.13,13.055,2,3172,18,1.98,1.03,332.9,0.089119879,31.91,,1.07E+08,94,11,11,3940,83308,0,0,0
ATrep,D12,38.0232,-121.8071,1,2015-11-17,11,7,2015,,,,,,,,,,,,0.07,0.43,1592,,2,2.1,0.24,,0.06,0.13,13.075,2,3174,18,1.67,0.69,218.51,0.068851677,11.9,,,155,125,9,1387,93529,0,0,0
BI,,38.1159,-121.6845,0,2015-11-17,11,7,2015,850,13.6,9.51,91.9,,1739,0.86,12.7,7.66,3,,0.11,0.61,442,,2.2,2.2,0.21,,0.09,0.14,14.578,3,957,16,3.58,1.19,715.03,0.403500575,29.96,,1.23E+07,143,13,9,8550,199620,0.27707714,0,0
CV,D4,38.0602,-121.824,0,2015-11-17,11,7,2015,915,13.87,9.33,93.4,,9911,5.56,10.4,7.81,3.5,,0.09,0.55,2978,,1.8,1.9,0.35,,0.09,0.14,12.618,3,5800,16,1.36,0,40.69,0.012558991,6.78,,3.16E+06,26,0,9,26,67200,0.253483145,0,0
FieldCont,,,,1,,11,7,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,0,9,6,36,0,0,0
FT,D19,38.0468,-121.6192,0,2015-11-17,11,7,2015,1329,13.81,10.24,99,,1031,0.49,6.7,7.94,3.3,,0.07,0.48,238,,2.6,2.7,0.22,,0.07,0.11,12.264,2,575.5,8,7.92,1.18,2879.33,3.111711044,22.86,,2.33E+07,153,10,9,1350,364835,0,0,0
JP,,38.0517,-121.6953,0,2015-11-17,11,7,2015,925,13.78,9.6,93.5,,2546,1.29,11.2,7.79,2.1,,0.07,0.48,668.2,,2.2,2.3,0.2,,0.07,0.12,13.004,2,1419,15,4.13,0.94,1045.57,0.931676952,0,,2.26E+07,2446,19,8,13179,257412,0,0,0
MI,,37.9952,-121.5222,0,2015-11-17,11,7,2015,1255,13.33,10.43,99.9,,575,0.26,2.4,8,4.8,,0.03,0.45,108,,3.5,3.3,0.35,,0.08,0.12,10.124,1,324,4,12.81,0.76,3919.56,3.233929335,213.17,,1.19E+07,2469,119,9,4332,2076396,0,0,0
OR,D28A,37.9706,-121.5725,0,2015-11-17,11,7,2015,1138,12.92,9.5,90.3,,796,0.37,3.2,7.77,2,,0.04,0.3,170,,3,3.5,0.2,,0.07,0.1,10.747,1,441,5,3.26,1.09,1082.42,0.754356685,23.28,,4.56E+06,2887,0,8,17092,189508,0.260703775,0,0
RR,P8,37.9633,-121.3663,0,2015-11-17,11,7,2015,1245,14.14,8.83,85.8,,384,0.17,6.4,7.74,5,,0.06,0.99,55,,3.1,3.2,0.46,,0.17,0.24,13.106,2,214,9,2.7,0.58,43.15,0.007637578,34.19,,5.74E+06,22,0,8,9,106446,0,0,0
SJ,,38.0347,-121.4834,0,2015-11-17,11,7,2015,1330,13.44,10.24,98.3,,504,0.23,3.6,7.99,7.9,,0.02,0.54,83.52,,3.2,3.5,0.5,,0.1,0.16,11.119,2,279,6,9.52,1.13,16895.76,8.35441337,915.81,,2.05E+08,865,0,14,4353,1432546,0,0,0
VC,,37.872,-121.5277,0,2015-11-17,11,7,2015,1215,12.52,10.04,94.6,,674,0.31,1.7,7.85,2.1,,0.02,0.4,129,,3.7,3.5,0.27,,0.07,0.12,11.195,1,375,2,3.13,0.54,169.22,0.139115384,11.48,,5.02E+07,498,0,9,8119,180962,0,0,0
AT,D12,38.02161,-121.8063,0,2016-06-09,6,1,2016,625,20.35,8.36,,28,2110,1.05,30.3,7.73,,5.6,0.05,0.29,550,23,2.4,3,0.2,0.4,0.07,0.11,9.2,5,1170,36,6.38,2.06,,,,,9.94E+06,48,0,0,35928,376308,0,0,0
FT,D19,38.04376,-121.6148,0,2016-06-09,6,1,2016,730,21.28,8.13,,64,301,0.13,12.4,7.71,,4.3,0.05,0.25,43,12,2.4,2.7,0.4,0.5,0.06,0.08,9.2,2,163,11,2.95,1.85,,,,,6.49E+06,5774,3374,0,2706,473280,0,0.02,0
OR,D28A,37.97048,-121.573,0,2016-06-09,6,1,2016,830,22.26,7.36,,100,237,0.1,8.1,7.57,,3.6,0.04,0.16,25,12,2.9,3,0.2,0.4,0.05,0.1,8.7,2,128,7,2.68,1.82,,,,,2.43E+07,11040,9893,0,75680,880387,0,0,0
,D16,38.0969,-121.6691,0,2016-06-10,6,1,2016,540,21.36,8.26,,80,274,0.12,11.7,7.74,,3.2,0.07,0.27,40,11,2.4,2.5,0.2,0.5,0.06,0.08,9.9,2,151,13,3.02,1.95,,,,,5.82E+06,538,480,0,3770,393398,0,0,0
,D26,38.07664,-121.5669,0,2016-06-10,6,1,2016,630,21.82,7.99,,120,183,0.08,7.7,7.63,,3.1,0.1,0.25,15,11,2.4,2.4,0.2,0.4,0.06,0.08,10.9,1,99,7,2.1,1.61,,,,,2.23E+07,343,49,0,99563,797743,0,0,0
,MD10A,38.04226,-121.4199,0,2016-06-10,6,1,2016,750,23.57,7.16,,184,269,0.12,2.9,7.57,,4.6,0.03,0.12,29,16,3.9,3.9,0.3,0.4,0.12,0.14,6.6,1,144,4,5.44,1.74,,,,,1.01E+08,20718,17167,0,33514,1529204,0,0,0
RR,P8,37.97817,-121.3823,0,2016-06-10,6,1,2016,900,24.34,6.65,,88,536,0.24,8.5,7.4,,4.8,0.07,0.69,90,21,5.5,4.7,0.4,0.7,0.18,0.23,9.3,1,289,10,3.9,1.63,,,,,2.65E+07,7046,5036,0,4327,504154,0,0,0
CV,D4,38.06248,-121.8205,0,2016-06-13,6,1,2016,1120,20.42,8.51,,24,3878,2.03,35.9,7.87,,4.1,0.06,0.26,1081,36,3.7,2.5,0.2,0.4,0.06,0.12,9.9,8,2130,45,4.59,2.17,,,,,4.60E+06,29,0,0,33,180585,0,0,0
,D8,38.05992,-121.99,0,2016-06-13,6,1,2016,925,20.19,8.51,,40,9231,5.15,21.6,7.87,,3.8,0.07,0.28,2765,74,1.8,1.9,0.3,0.4,0.07,0.1,9.6,7,5388,34,0.78,0,,,,,1.88E+06,32,0,0,432,436821,0,0,0
,D22,38.08453,-121.7391,0,2016-06-13,6,1,2016,1235,20.88,8.66,,32,264,0.11,31.7,7.87,,6.2,0.11,0.3,37,10,2.1,2.6,0.2,0.5,0.06,0.11,12.2,7,140,39,10.62,3.44,,,,,9.45E+05,0,64,0,4715,6502240,0,0,0
FieldCont,FieldCont,,,1,,6,1,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,67,0,0,0
AT,D12,38.02161,-121.8063,0,2016-07-11,7,2,2016,905,21.66,8.2,,48,1912,0.95,19.8,7.64,,2.8,0.06,0.24,479,20,1.9,2.1,0.2,0.4,0.06,0.09,10.1,3,997,18,4.54,0.83,,,,,1.14E+09,2748,1680,0,46660,381708,0,0,0
FT,D19,38.04376,-121.6148,0,2016-07-11,7,2,2016,1015,22.11,8.49,,100,524,0.24,8.2,7.78,,2.1,0.02,0.16,106,12,2,2.1,0.2,0.3,0.04,0.06,10.2,0,274,6,4.23,1.27,,,,,3.29E+09,95241,82359,306,26824,802127,1.57,0,0
OR,D28A,37.97048,-121.573,0,2016-07-11,7,2,2016,1115,23.09,8.36,,180,377,0.17,5.1,7.86,,4.5,0,0.06,70,12,2.2,2.2,0.3,0.4,0.04,0.06,8.5,0,209,4,4.3,1.69,,,,,2.51E+09,62388,39284,0,18695,1360501,1.59,0,0.26
,D16,38.0969,-121.6691,0,2016-07-12,7,2,2016,855,22.17,8.41,,88,457,0.21,8.6,7.74,,2.6,0.04,0.2,90,11,2,2.1,0.3,0.4,0.04,0.09,10.2,1,241,9,4.88,1.48,,,,,7.78E+09,108146,64642,0,12577,647939,0.06,0,0
,D26,38.07664,-121.5669,0,2016-07-12,7,2,2016,945,22.27,9.13,,108,162,0.07,5.7,7.75,,7,0.05,0.17,15,9,1.8,1.9,0.2,0.4,0.04,0.07,10.6,2,87,8,16.05,2.75,,,,,4.73E+09,229758,153077,0,7786,9588844,0.16,0,0.21
,MD10A,38.04226,-121.4199,0,2016-07-12,7,2,2016,1110,24.62,9.75,,68,202,0.09,9.2,8.4,,11.2,0.02,0.01,17,13,4,3.9,0.4,0.9,0.04,0.12,11.4,4,114,11,40.19,4.8,,,,,2.21E+08,418444,10613,470,97504,17957427,0,0,0.26
RR,P8,37.97817,-121.3823,0,2016-07-12,7,2,2016,1210,25.69,7.85,,108,484,0.22,6.7,7.67,,5.4,0.04,0.33,78,20,3.9,4,0.5,0.6,0.13,0.22,10.9,2,256,7,11.92,2.06,,,,,9.88E+08,950800,514918,24,34020,6910506,0,0,0
CV,D4,38.06248,-121.8205,0,2016-07-13,7,2,2016,1220,22.59,8.48,,56,3509,1.82,16.4,7.82,,3,0.05,0.18,959,31,1.7,1.8,0.2,0.4,0.03,0.09,10.2,2,1914,19,3.83,1.02,,,,,8.62E+08,300,231,0,8454,323977,0,0,0
,D8,38.05992,-121.99,0,2016-07-13,7,2,2016,1030,21.35,8.51,,44,9110,5.08,17.9,7.84,,2.9,0.04,0.28,2693,70,1.6,2.8,0.2,0.4,0.06,0.11,9.8,4,5236,26,2.91,0.64,,,,,4.57E+08,708,312,0,1844,374376,0,0,0
,D22,38.08453,-121.7391,0,2016-07-13,7,2,2016,1335,22.91,8.84,,64,153,0.06,11.7,7.73,,3.8,0.08,0.2,12,8,1.6,1.7,0.2,0.3,0.04,0.07,12.4,1,80,14,6.34,1.2,,,,,6.18E+07,408,240,0,5288,1280100,0,0,0
FieldCont,FieldCont,,,1,,7,2,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,147,0,0,0
AT,D12,38.02161,-121.8063,0,2016-08-08,8,3,2016,805,21.26,8.22,,44,1925,0.96,21.4,7.68,,2.6,0.05,0.21,478,19,1.9,2,0.1,0.2,0.06,0.09,10,3,1011,21,3.97,1.92,,,,,4.13E+09,43620,504,0,2304,478320,0,0,0
FT,D19,38.04376,-121.6148,0,2016-08-08,8,3,2016,920,22.26,8.43,,120,575,0.26,6,7.87,,1.6,0.03,0.16,121,12,2.1,1.9,0,0.2,0.05,0.07,10,1,309,5,3.41,1.66,,,,,1.12E+09,27936,14976,36,14076,1117164,0,0,0.2
OR,D28A,37.97048,-121.573,0,2016-08-08,8,3,2016,1025,23.36,8.49,,180,423,0.19,2.5,8.07,,1.3,0.02,0.07,83,11,2.2,2.2,0.1,0.2,0.05,0.07,9.3,1,225,3,2.75,0.91,,,,,2.38E+08,13230,2199,0,3271,580303,0,0,0
,D16,38.0969,-121.6691,0,2016-08-09,8,3,2016,735,22.43,8.25,,112,484,0.22,4.26,7.77,,2.1,0.04,0.17,99,11,1.9,1.7,0.1,0.2,0.05,0.07,10.6,2,262,6,3.75,1.46,,,,,1.95E+09,212130,84769,0,1355,803920,0,0,0
,D26,38.07664,-121.5669,0,2016-08-09,8,3,2016,830,22.76,8.1,,160,196,0.08,4.8,7.5,,2.1,0.1,0.19,23,10,1.7,1.8,0.1,0.3,0.05,0.07,12.4,1,108,4,3.34,1.39,,,,,1.42E+09,468820,166883,0,37335,2217089,0,0,0
,MD10A,38.04226,-121.4199,0,2016-08-09,8,3,2016,950,25.23,8.08,,132,180,0.08,3.4,7.63,,5.8,0.02,0.04,14,12,3.1,3.3,0.1,0.4,0.04,0.08,11.6,2,105,5,12.04,2.4,,,,,3.59E+07,113676,3576,0,488,3747708,0,0.04,0.24
RR,P8,37.97817,-121.3823,0,2016-08-09,8,3,2016,1105,25.93,7.04,,120,326,0.14,4.8,7.43,,4.3,0.04,0.2,45,17,3.4,3.5,0.1,0.4,0.02,0.04,11.3,1,173,5,7.93,1.26,,,,,1.46E+09,539798,241188,0,1030,3159743,0.09,0,0.29
CV,D4,38.06248,-121.8205,0,2016-08-10,8,3,2016,1105,21.38,8.42,,40,3220,1.66,21.9,7.83,,1.9,0.03,0.19,852,27,1.7,1.8,0.2,0.4,0.06,0.09,10.1,3,1766,25,4.46,1.65,,,,,5.32E+07,2027,699,0,8318,734214,0,0,0.53
,D8,38.05992,-121.99,0,2016-08-10,8,3,2016,910,20.47,8.49,,52,10316,5.81,16.4,7.86,,2.2,0.05,0.25,2993,72,1.4,1.4,0.1,0.3,0.08,0.11,10.8,4,6092,22,2.65,0,,,,,4.63E+08,96,0,0,444,349032,0,0,0
,D22,38.08453,-121.7391,0,2016-08-10,8,3,2016,1215,22.46,9.13,,96,150,0.06,6.6,7.86,,3.5,0.07,0.19,10,9,1.8,1.8,0.2,0.4,0.05,0.07,11.1,2,98,9,11.56,1.43,,,,,2.36E+08,156,96,0,28328,5057700,0,0,0
FieldCont,FieldCont,,,1,,8,3,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,156,0,0,0
AT,D12,38.02161,-121.8063,0,2016-09-06,9,4,2016,800,20.4,8.1,,52,3731,1.94,17.9,7.6,,2.4,0.08,0.26,1020,33,1.8,1.8,0.3,0.4,0.07,0.1,12.5,2,2100,14,2.62,0,,,,,3.98E+09,2458,250,0,214,199018,0,0,0
FT,D19,38.04376,-121.6148,0,2016-09-06,9,4,2016,915,21.1,8.16,,104,1026,0.49,9.1,7.8,,1.7,0.04,0.17,242,16,2.3,2,0.2,0.3,0.06,0.08,13,1,562,4,2.34,0.89,,,,,2.57E+08,45091,13421,0,6992,362093,0,0,0
OR,D28A,37.97048,-121.573,0,2016-09-06,9,4,2016,1010,22,8.9,,204,613,0.28,4.2,8.4,,1.6,0.01,0.07,129,14,2.7,2.2,0.2,0.3,0.06,0.08,11.6,0,338,1,2.33,0.79,,,,,1.80E+08,126211,82406,19,22694,569386,0,0,0
,D16,38.0969,-121.6691,0,2016-09-09,9,4,2016,950,21.2,8.24,,100,982,0.46,9.9,7.8,,1.9,0.05,0.23,230,16,1.8,1.9,0.2,0.3,0.07,0.09,13.6,1,542,6,2.07,0.63,,,,,1.35E+07,16224,7278,0,16,153327,0,0,0
,D26,38.07664,-121.5669,0,2016-09-09,9,4,2016,1035,21.5,8.23,,148,491,0.22,7,7.7,,1.8,0.08,0.24,96,14,2,2,0.2,0.4,0.06,0.09,15,1,270,4,2.91,1.01,,,,,1.39E+08,121356,91161,0,98,786361,0,0,0.38
,MD10A,38.04226,-121.4199,0,2016-09-09,9,4,2016,1200,23.7,8.1,,240,196,0.08,7.6,7.6,,4,0.01,0.07,13,13,3.2,2.8,0.3,0.4,0.07,0.09,13.8,0,111,2,3.71,1.15,,,,,4.27E+06,4626,1316,1050,1455,1109216,0,0,0.6
RR,P8,37.97817,-121.3823,0,2016-09-09,9,4,2016,1310,24.1,7.8,,106,282,0.12,3.6,7.4,,2.9,0.03,0.14,35,16,3,3.1,0.2,0.4,0.09,0.13,13.2,0,155,4,5.6,1.22,,,,,7.98E+09,1099877,672619,0,7390,4099916,0.17,0,0.69
CV,D4,38.06248,-121.8205,0,2016-09-12,9,4,2016,1330,19.69,8.83,,44,6838,3.73,21.5,7.83,,2.2,0.07,0.31,2377,61,1.8,1.4,0.2,0.5,0.08,0.14,12.4,5,4692,37,1.67,1.26,,,,,1.44E+07,134,0,0,0,466954,0,0.02,0.37
,D8,38.05992,-121.99,0,2016-09-12,9,4,2016,1215,19.4,8.82,,44,14001,8.08,19.6,7.85,,2.4,0.06,0.36,4260,100,1.2,1.2,0.3,0.5,0.09,0.14,10.4,5,8350,32,1.67,0.67,,,,,2.52E+06,48,0,0,6,765398,0,0,0
,D22,38.08453,-121.7391,0,2016-09-12,9,4,2016,1445,19.84,8.76,,40,1532,0.75,21.6,7.81,,2.2,0.09,0.24,377,20,2.1,1.8,0.2,0.4,0.07,0.11,16.3,3,838,25,2.06,1.29,,,,,2.49E+06,288,0,0,182,385363,0,0,0.309
FieldCont,FieldCont,,,1,,9,4,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,192,0,0,0
AT,D12,38.02161,-121.8063,0,2016-10-20,10,5,2016,725,17.5,8.5,,68,4324,2.28,12.6,7.6,,2,0.07,0.35,1325,40,1.7,1.7,0.2,0.4,0.09,0.1,14.6,2,2530,16,1.58,0.52,,,,,2.89E+07,348,0,0,0,147288,0,0,0
FT,D19,38.04376,-121.6148,0,2016-10-20,10,5,2016,905,17.6,8.6,,180,999,0.47,5,7.7,,3.2,0.06,0.36,250,16,1.9,1.7,0.2,0.3,0.08,0.08,14.4,0,554,5,1.55,0.57,,,,,2.59E+06,5928,96,0,6980,239472,0,0,0
OR,D28A,37.97048,-121.573,0,2016-10-20,10,5,2016,1000,17.8,8.8,,360,821,0.38,1.7,7.8,,2.2,0.03,0.22,170,16,2.3,2,0.2,0.3,0.08,0.08,13.4,0,446,3,1.51,0.84,,,,,8.07E+06,2292,648,0,16,64548,0,0,0
,D16,38.0969,-121.6691,0,2016-10-21,10,5,2016,730,17.7,8.5,,136,766,0.36,6.8,7.7,,2.2,0.1,0.41,135,13,2.2,1.8,0.2,0.4,0.08,0.08,15.1,1,347,10,1.51,0.82,,,,,1.01E+07,1972,95,582,871,318558,0,0,0
,D26,38.07664,-121.5669,0,2016-10-21,10,5,2016,830,17.6,8.2,,136,368,0.16,7.4,7.4,,1.9,0.12,0.41,67,12,1.8,1.8,0.2,0.4,0.08,0.08,15.2,0,203,9,1.31,0.73,,,,,8.61E+06,1200,0,0,1417,85258,0,0,0
,MD10A,38.04226,-121.4199,0,2016-10-21,10,5,2016,950,18.1,7.8,,296,204,0.09,1.7,7.4,,2.6,0.03,0.2,17,13,2.9,3,0.3,0.4,0.08,0.08,11.9,0,114,3,1,0.59,,,,,3.79E+06,11424,1344,0,1596,172920,0,0,0
RR,P8,37.97817,-121.3823,0,2016-10-21,10,5,2016,1105,19.5,7.4,,72,719,0.33,3.9,7.6,,4.2,0.1,2.1,125,27,3.8,3.8,0.4,0.7,0.42,0.42,13,0,398,6,7.47,1.01,,,,,9.35E+07,687000,2088,0,36236,1621920,0,0.02,0
CV,D4,38.06248,-121.8205,0,2016-10-24,10,5,2016,1200,17.64,8.39,,76,13077,7.5,15.8,7.77,,2.8,0.08,0.43,4100,93,1.2,1.2,0.3,0.4,0.1,0.1,12.3,4,7620,26,1.43,0.83,,,,,5.54E+06,60,0,0,20,106985,0,0.04,0
,D8,38.05992,-121.99,0,2016-10-24,10,5,2016,1040,17.52,8.39,,60,18913,11.2,14.9,7.75,,2.7,0.09,0.42,6225,135,1,1,0.3,0.6,0.11,0.11,13.3,5,11290,27,1.92,0.51,,,,,3.79E+06,35,0,0,0,71674,0.25,0,0
,D22,38.08453,-121.7391,0,2016-10-24,10,5,2016,1240,17.75,8.46,,76,5655,3.04,10.5,7.73,,2.5,0.08,0.42,1659,44,1.6,1.4,0.1,0.4,0.09,0.09,14.3,2,3192,14,2,0.73,,,,,2.17E+07,396,0,0,264,4308,0,0.02,0
