"","count_(Intercept)","count_chlor","count_depth","count_DO","count_habitat","count_month","count_salinity2","count_sediment","count_turb","count_w_temp","zero_(Intercept)","zero_chlor","zero_depth","zero_DO","zero_habitat","zero_month","zero_salinity2","zero_sediment","zero_turb","zero_w_temp","df","logLik","AICc","delta","weight"
"190324",13.7383018925,-0.0113430182383354,0.196061412182282,NA,NA,"+",-0.0960253531703545,"+",NA,-0.251341291579176,-2.7041766381377,0.0351349661140248,-0.153986650720675,NA,NA,"+",1.21912123174299,"+",NA,0.0964041521768378,19,-1415.10540074613,2871.93629168834,17.4773214122943,2.29392533844198e-05
"248293",9.31345327322333,NA,NA,0.248186263966997,NA,NA,-0.157277791604614,"+",6.39985888080765e-05,-0.112875341664775,-1.82784734631259,NA,NA,-0.338060686728908,NA,NA,1.26547719290394,"+",0.011966658063057,0.141738363506328,17,-1417.48547987688,2871.94183354017,17.4828632641206,2.28757783956471e-05
"186220",10.8672952979789,0.0102884210648727,0.119418259215476,NA,"+",NA,0.0687302931258409,"+",NA,-0.094161320960056,-2.52386853811313,0.0622181593307229,-0.259825032645369,NA,"+",NA,1.34102080767088,"+",NA,0.146351631885636,21,-1412.70710758868,2871.9884726031,17.5295023270596,2.23484978238101e-05
"129277",9.65560003049186,NA,NA,0.0232665849637843,"+","+",0.206279201158501,"+",0.00893810506139909,NA,5.0021495234392,NA,NA,-0.636801091870368,"+","+",1.27972524800813,"+",0.0125925199168886,NA,21,-1412.72116219429,2872.01658181431,17.5576115382687,2.20365954675508e-05
"257527",12.1507801798113,NA,0.224724826143162,0.103742196282494,NA,"+",-0.0921776989663315,"+",0.00713663303400075,-0.234922658232215,0.315271754751769,NA,-0.140553358109086,-0.352467973615645,NA,"+",1.28131493545914,"+",0.00971367789925676,0.0745855111475458,21,-1412.79320741609,2872.16067225793,17.7017019818841,2.05048056357055e-05
"253936",10.3516716263119,0.0277744668527246,0.166513347694691,0.0729957506980143,"+",NA,0.100542216223707,"+",0.0135165519642904,-0.111989767025106,3.37548946348116,0.0613588328408601,-0.216115469115823,-0.641896033721957,"+",NA,1.42272510715182,"+",0.0116236539312756,0.105341591438215,25,-1407.81156903988,2872.18879464542,17.7298243693717,2.02185011993169e-05
"249832",10.0818720104994,0.00992618023292231,0.231916635468465,0.138291001015361,NA,NA,-0.0631757490827859,"+",0.00924399539703169,-0.164241388261939,-0.630251190685652,0.020635529086934,-0.12799000032475,-0.322324011485829,NA,NA,1.28350146978283,"+",0.00972247537743437,0.0965953304611174,21,-1412.83812773694,2872.25051289961,17.7915426235691,1.96041045295149e-05
"57457",8.77346124488826,NA,NA,NA,NA,"+",-0.0908209828001716,"+",NA,NA,-0.822216521306047,NA,NA,NA,NA,"+",1.12222976839868,"+",NA,NA,13,-1422.26015961721,2872.25365256775,17.7946822917029,1.95733534817096e-05
"125173",6.84746692966004,NA,NA,0.261150171954602,NA,"+",-0.0979196006353462,"+",-0.000508824994299552,NA,1.75756256957901,NA,NA,-0.390897747328508,NA,"+",1.2048186208026,"+",0.011055260812212,NA,17,-1417.72074492908,2872.41236364457,17.9533933685284,1.80801307485191e-05
"63100",9.1084685787856,0.00670202487922715,0.112288530930759,NA,"+","+",0.135504172704329,"+",NA,NA,0.659802679345165,0.0637714060979526,-0.271853076936506,NA,"+","+",1.28758375806367,"+",NA,NA,21,-1412.93556908201,2872.44539558976,17.9864253137152,1.77839722098264e-05
"156466",13.5272341378512,-0.0524233589134427,NA,NA,NA,"+",0.0130323136837676,NA,NA,-0.204891847011444,-3.27296332157906,0.0542852249875288,NA,NA,NA,"+",1.16140429475227,NA,NA,0.0926533365314172,11,-1424.65409353187,2872.55347008261,18.0944998065652,1.68484786954406e-05
"127738",9.81052849169566,0.0177786024504,NA,NA,"+","+",0.237206995128218,"+",0.00996567996352808,NA,-0.697223401854098,0.0754281198260534,NA,NA,"+","+",1.30462117645615,"+",0.0183301306144315,NA,21,-1413.036700789,2872.64765900374,18.1886887276974,1.60734028174486e-05
"130816",7.99723276868574,0.0301289908434642,0.158067311778907,0.0787455938000841,"+","+",0.174423171007203,"+",0.0133965543398441,NA,5.96145629067168,0.0622213341214474,-0.220350560636586,-0.67468484050635,"+","+",1.37719218372527,"+",0.0110263052286282,NA,25,-1408.05068285997,2872.6670222856,18.2080520095574,1.59185367911606e-05
