"","StationCode","DateTime","Study","Secchi","WTSurface","DOSurface","SpCndSurface","pHSurface","Microcystis","TurbiditySurface_FNU"
"62","D6",2020-11-10 10:45:00,"EMP",80,14.94,8.25,29744,7.84,1,14.3
"63","D8",2020-11-10 11:40:00,"EMP",60,14.13,8.96,17311,7.92,1,19.8
"64","D10",2020-11-10 12:20:00,"EMP",56,14.64,8.94,13874,7.87,2,14.6
"65","D7",2020-11-12 11:25:00,"EMP",48,14.26,8.59,21318,7.79,2,41.4
"66","NZS42",2020-11-12 12:20:00,"EMP",28,13.72,7.91,13647,7.53,1,33.7
"67","NZ032",2020-11-12 13:30:00,"EMP",44,13.81,8.03,13849,7.53,1,17.6
"68","D41A",2020-11-13 09:45:00,"EMP",50,13.8,8.17,38036,7.93,1,27.1
"69","D41",2020-11-13 10:25:00,"EMP",84,14.18,7.42,45349,7.91,1,8.8
"70","NZ325",2020-11-13 11:05:00,"EMP",56,14.28,7.93,36891,7.92,1,15
"71","NZ002",2020-11-13 11:20:00,"EMP",40,14.34,7.73,38969,7.91,1,27.1
"72","NZ004",2020-11-13 11:40:00,"EMP",42,14.4,7.9,34970,7.91,1,15
"73","SHR",2020-11-16 10:25:00,"AEU",300,11.4,10.43,142,7.48,1,3.4
"74","LIS",2020-11-17 13:41:00,"AEU",42,12.5,8.11,296,7.83,1,15.96
"75","SHR",2020-11-30 10:13:00,"AEU",300,9.9,10.76,147,7.46,1,4.7
"76","LIS",2020-12-01 12:42:00,"AEU",62,10.2,5.06,302,7.54,1,13.3
"77","STTD",2020-12-01 09:55:00,"AEU",130,9.5,11.1,222,8.11,1,6.5
"78","C3A",2020-12-03 08:45:00,"EMP",NA,10.27,10.57,164,7.59,1,2.9
"79","C9",2020-12-03 10:30:00,"EMP",NA,11.05,10.14,633,7.59,2,3.5
"80","C10A",2020-12-03 11:45:00,"EMP",NA,9.77,11.1,792,7.66,1,5
"81","D12",2020-12-04 08:25:00,"EMP",80,11.58,9.74,6654,7.73,2,10.3
"82","D16",2020-12-04 10:50:00,"EMP",160,11.35,9.99,1332,7.79,2,4.3
"83","D19",2020-12-04 11:40:00,"EMP",228,11.56,10.23,1004,7.84,1,1.9
"84","D28A",2020-12-04 12:20:00,"EMP",304,11.09,9.53,706,7.67,1,1
"85","C3A",2021-03-03 08:45:00,"EMP",NA,12.31,10.21,214,7.48,1,4.3
"86","C9",2021-03-03 10:45:00,"EMP",NA,12.71,10.4,645,7.79,1,2.5
"87","C10A",2021-03-03 12:15:00,"EMP",NA,13.65,10.7,988,7.77,1,10.9
"88","D12",2021-03-04 08:05:00,"EMP",40,12.05,9.97,3629,7.76,1,16
"89","D16",2021-03-04 09:40:00,"EMP",96,11.96,10.1,424,7.91,1,7.6
