region,date,n,n.cen,median,mean,sd,analyte
Northern Interior Bay,Sep 2019,2,0,NA,4.394999999999996,2.8213560569343112,TurbiditySurface
Northern Interior Bay,Sep 2020,2,0,NA,2.3999999999999915,0.4242640687119245,TurbiditySurface
San Pablo Bay,Apr 2019,6,0,23.19999999999999,26.51666666666666,13.32987871912819,TurbiditySurface
San Pablo Bay,Aug 2019,6,0,15,15.166666666666671,5.623047809388305,TurbiditySurface
San Pablo Bay,Aug 2020,6,0,8.300000000000011,9.216666666666669,2.833666647061128,TurbiditySurface
San Pablo Bay,Dec 2019,6,0,11.099999999999994,13.666666666666666,5.426846843855712,TurbiditySurface
San Pablo Bay,Feb 2019,6,0,99.3,101.8,38.100393698753294,TurbiditySurface
San Pablo Bay,Feb 2020,6,0,9.099999999999994,10.833333333333334,3.629141312578864,TurbiditySurface
San Pablo Bay,Jan 2019,6,0,10.400000000000006,12.650000000000006,5.046087593373706,TurbiditySurface
San Pablo Bay,Jan 2020,6,0,11.800000000000011,14.316666666666672,6.131367438562679,TurbiditySurface
San Pablo Bay,Jul 2019,6,0,10.900000000000006,31.583333333333325,38.3318362026484,TurbiditySurface
San Pablo Bay,Jul 2020,6,0,10.300000000000011,11.666666666666663,2.974334659493893,TurbiditySurface
San Pablo Bay,Jun 2019,6,0,13.800000000000011,20.166666666666668,12.576273957999899,TurbiditySurface
San Pablo Bay,Jun 2020,6,0,10.300000000000011,9.433333333333337,3.7313089749666504,TurbiditySurface
San Pablo Bay,Mar 2019,6,0,27,27.950000000000003,11.67266036514384,TurbiditySurface
San Pablo Bay,Mar 2020,6,0,9.699999999999989,15.15,9.357937807017098,TurbiditySurface
San Pablo Bay,May 2019,6,0,19.599999999999994,25.149999999999995,16.270187460505795,TurbiditySurface
San Pablo Bay,Nov 2019,6,0,10.099999999999994,9.349999999999994,3.6604644514050415,TurbiditySurface
San Pablo Bay,Nov 2020,6,0,15,17.883333333333336,7.50823991802783,TurbiditySurface
San Pablo Bay,Oct 2019,6,0,5.599999999999994,5.783333333333331,2.778068873636264,TurbiditySurface
